stock_code,code,date_yyyymmdd,engine,A_SIG,B_SIG,C_SIG,target_pct,risk_pct_display,fail_price,engine_code,satellite,yield_to_AB,entry_price,risk_budget,exit_reason
001319.SZ,001319,20241113,B,0,1,0,20.0,8.02255931544148,23.647399999999998,2,0,0,25.71,0.025,首回踩失效
300170.SZ,300170,20241113,C,0,0,1,12.69155526573197,11.818882466281321,9.1532,3,1,1,10.38,0.015,横盘结构失效
002981.SZ,002981,20241115,B,0,1,0,20.0,8.914841849148413,22.4616,2,0,0,24.66,0.025,首回踩失效
002587.SZ,002587,20241213,B,0,1,0,20.0,9.405541561712848,7.1932,2,0,0,7.94,0.025,首回踩失效
603666.SH,603666,20250211,C,0,0,1,12.118340163934429,12.377932783766642,27.636,3,1,1,31.54,0.015,MA20破坏
002624.SZ,002624,20250214,C,0,0,1,16.67809561128524,8.993832599118956,10.329199999999998,3,1,1,11.35,0.015,滞败
603158.SH,603158,20250214,C,0,0,1,19.672843080486373,7.624724061810162,8.3692,3,1,1,9.06,0.015,MA20破坏
300115.SZ,300115,20250217,C,0,0,1,10.979523227383872,13.66179540709811,20.678,3,1,1,23.95,0.015,MA20破坏
301366.SZ,301366,20250217,C,0,0,1,16.774972150018556,8.941892639734373,32.9084,3,1,1,36.14,0.015,高成熟成本停滞
603067.SH,603067,20250217,A,1,0,0,19.488870153892584,12.827834452479358,9.20538068181818,1,0,0,10.56,0.025,趋势破坏
603083.SH,603083,20250217,C,0,0,1,15.890278888209592,9.439733629300761,40.7974,3,1,1,45.05,0.015,横盘结构失效
603259.SH,603259,20250217,C,0,0,1,13.940217391304344,10.760233918128659,53.41,3,1,1,59.85,0.015,MA20破坏
000678.SZ,000678,20250218,C,0,0,1,16.01302241066021,9.36737588652482,6.3896,3,1,1,7.05,0.015,高成熟成本停滞
002115.SZ,002115,20250220,B,0,1,0,20.0,6.528883183568679,7.2814,2,0,0,7.79,0.025,证明后结构回吐
603259.SH,603259,20250220,A,1,0,0,17.234527885566898,14.50576433888643,52.83543763856819,1,0,0,61.8,0.025,高成熟成本停滞
300662.SZ,300662,20250317,B,0,1,0,13.770749941134925,18.15442158696232,30.634800000000002,2,0,0,37.43,0.025,首回踩失效
003025.SZ,003025,20250320,A,1,0,0,11.520764241489372,21.69994930541871,11.885947695437439,1,0,0,15.18,0.025,滞败
000833.SZ,000833,20250512,C,0,0,1,11.487926136363644,13.057187017001537,11.2504,3,1,1,12.94,0.015,横盘结构失效
002446.SZ,002446,20250512,C,0,0,1,14.115969581749047,10.626262626262628,6.1936,3,1,1,6.93,0.015,滞败
002792.SZ,002792,20250512,C,0,0,1,12.075698407930316,12.421641791044769,14.0826,3,1,1,16.08,0.015,滞败
300586.SZ,300586,20250513,C,0,0,1,10.875451263537895,13.792531120331963,8.3104,3,1,1,9.64,0.015,MA20破坏
002562.SZ,002562,20250514,B,0,1,0,20.0,8.927234927234927,4.380599999999999,2,0,0,4.81,0.025,首回踩失效
002037.SZ,002037,20250519,B,0,1,0,20.0,4.193168433451122,8.134,2,0,0,8.49,0.025,证明后结构回吐
300656.SZ,300656,20250520,C,0,0,1,14.798957557706627,10.135849056603774,23.814,3,1,1,26.5,0.015,MA20破坏
300672.SZ,300672,20250520,C,0,0,1,9.115446285408863,16.45558487247143,66.493,3,1,1,79.59,0.015,高成熟成本停滞
002846.SZ,002846,20250521,B,0,1,0,20.0,10.517757009345786,9.5746,2,0,0,10.7,0.025,证明后结构回吐
000915.SZ,000915,20250610,A,1,0,0,20.0,9.437476467585526,25.185437794364464,1,0,0,27.81,0.025,高成熟成本停滞
000777.SZ,000777,20250612,A,1,0,0,14.825888793783387,16.862395467638137,16.186891602450853,1,0,0,19.47,0.025,趋势破坏
003015.SZ,003015,20250703,A,1,0,0,13.971096163496819,17.894086267417663,14.302850172215845,1,0,0,17.42,0.025,滞败
600360.SH,600360,20250703,A,1,0,0,14.774838237946017,16.920659026772178,6.795890091610036,1,0,0,8.18,0.025,高成熟成本停滞
601519.SH,601519,20250704,A,1,0,0,13.53288075036806,18.473524197218737,9.04943881410872,1,0,0,11.1,0.025,高成熟成本停滞
000823.SZ,000823,20250714,B,0,1,0,20.0,6.549173878835579,11.8776,2,0,0,12.71,0.025,证明后结构回吐
000901.SZ,000901,20250715,C,0,0,1,18.750000000000007,7.9999999999999964,11.7208,3,1,1,12.74,0.015,高成熟成本停滞
